rank,repo,stars,stars_1d,pushed_at,skills_tracked,topics
84,anbeime/skill,6835,68,2026-09-17,,claude-skills|gemini-skills|hermes-skill|office-skill|openclaw-skills|skill|skill-md|skills|finance-skill|agent-skills
85,jakubkrehel/skills,6818,57,2026-08-29,1,
86,antvis/Infographic,6674,4,2026-08-21,,infographic|llm|visualization|ai|antv
87,czlonkowski/n8n-skills,6243,4,2026-09-16,,ai-agents|n8n|workflow-automation
88,epiral/bb-browser,6216,5,2026-05-29,,
89,MengTo/Skills,6038,,2026-09-16,1,
90,google/agents-cli,5947,8,2026-09-16,7,adk|agent-development-kit|agents|coding-agent|gemini|generative-ai|gemini-enterprise-agent-platform|google-cloud
91,browser-act/skills,5942,7,2026-08-24,2,ai-agents|automation|claude-code|claude-code-skills|cursor|no-code|openclaw|openclaw-skills|web-scraping|web-scraping-api
92,SnailSploit/Claude-Red,5927,469,2026-08-30,,claude-ai|claude-skills|redteam|redteam-tools|skills|claude-pt
93,gosom/google-maps-scraper,5906,23,2026-09-13,,golang|google-maps-scraping|web-scraper|web-scraping|distributed-scraper|distributed-scraping|google-maps|agent-skills|claude-skills|codex-skills
94,internet-court/internet-court-skill,5770,34,2026-08-19,,a2a|agent-payments|agent-skills|agentic-commerce|ai-agents|claude-code|claude-plugin|claude-skill|codex|dispute-resolution
95,epoko77-ai/im-not-ai,5611,32,2026-09-06,,agent-skills|ai-detection|claude|claude-code|claude-skill|humanizer|korean|korean-nlp|llm|nlp
96,Galaxy-Dawn/claude-scholar,5529,,2026-08-27,1,academic-research|ai-agents|claude|claude-code|developer-tools|mcp|paper-writing|zotero|codex-cli|openai-codex
97,zebbern/claude-code-guide,4624,1,2026-09-17,,ai|ai-agent|ai-agent-tools|claude|claude-ai|claude-api|claude-code|claude-code-communication|claude-commands|claude-desktop
98,remotion-dev/skills,4599,14,2026-09-15,12,
99,elementalsouls/Claude-BugHunter,4525,17,2026-09-16,,ai-security|anthropic|application-security|bug-bounty|bugbounty|bugcrowd|claude|claude-code|claude-skills|ethical-hacking
100,eugeniughelbur/obsidian-second-brain,4478,10,2026-09-15,,ai-agents|claude-code|obsidian|second-brain|anthropic|claude|claude-skill|knowledge-management|note-taking|obsidian-md
